Title,Author,MyRating,AverageRating,NumberOfPages,DateRead,Year,id,Genre,Link
Atomic Habits,James Clear,5,4.36,319.0,2024/05/06,2024,1,Philosophy,https://m.media-amazon.com/images/I/81YkqyaFVEL._SL1500_.jpg
Aesop’s Fables,Aesop,5,4.05,352.0,2015/11/01,2015,2,Fiction,https://images3.penguinrandomhouse.com/cover/9780698135819
Cvijet sa raskršća,Antun Gustav Matoš,4,3.4,111.0,2015/11/01,2015,3,Fiction,https://ezop-antikvarijat.hr/wp-content/uploads/2019/05/31895.jpg
Zlatarovo zlato,August Šenoa,3,3.33,294.0,2016/01/01,2016,4,History,https://i.pinimg.com/originals/4f/e3/fd/4fe3fd4d89220b1c4f8c090a78acb750.jpg
The Divine Comedy,Dante Alighieri,0,4.08,798.0,2016/06/01,2016,5,Philosophy,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1657540227i/6656.jpg
Dekameron,Giovanni Boccaccio,4,3.88,823.0,2016/03/01,2016,6,History,https://www.biblos.si/uploads/images/r_900_700/9789533281292.jpg
Père Goriot,Honoré de Balzac,3,3.85,384.0,2018/02/01,2018,7,Fiction,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1389768126i/59145.jpg
Madame Bovary,Gustave Flaubert,4,3.7,329.0,2017/12/01,2017,8,Fiction,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1606770119i/2175.jpg
A Doll's House,Henrik Ibsen,5,3.76,122.0,2017/11/01,2017,9,Play,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1660268136i/37793.jpg
Tena,Josip Kozarac,5,3.38,71.0,2018/01/01,2018,10,Fiction,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1294480724i/10153265.jpg
Baraka Pet Be,Miroslav Krleža,4,3.58,13.0,2018/11/01,2018,11,Drama,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1308584113i/10982073.jpg
Duga,Dinko Šimunović,5,3.65,197.0,2018/09/01,2018,12,Drama,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1282412280i/8981458.jpg
Gospoda Glembajevi,Miroslav Krleža,4,3.96,196.0,2019/04/01,2019,13,Drama,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1352130304i/6918013.jpg
The Metamorphosis,Franz Kafka,5,3.87,201.0,2019/01/01,2019,14,Philosophy,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1646444605i/485894.jpg
Proces,Franz Kafka,5,3.96,185.0,2019/02/01,2019,15,Philosophy,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1638186459i/59721964.jpg
Crime and Punishment,Fyodor Dostoevsky,3,4.27,671.0,2018/03/01,2018,16,Philosophy,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1382846449i/7144.jpg
U registraturi,Ante Kovačić,2,3.61,417.0,2018/04/01,2018,17,Drama,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1294474920i/2275786.jpg
Smrt Smail-age Čengića,Ivan Mažuranić,3,2.88,65.0,2018/05/01,2018,18,History,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327786329i/6890933.jpg
Hamlet,William Shakespeare,4,4.02,289.0,2017/03/01,2017,19,Play,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1351051208i/1420.jpg
Fedra,Jean Racine,4,3.69,103.0,2017/01/01,2017,20,Play,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1425648279i/25084645.jpg
Dundo Maroje,Marin Držić,4,3.05,140.0,2017/02/01,2017,21,Play,https://upload.wikimedia.org/wikipedia/commons/3/38/Dundo_Maroje_Zg_1008.jpg
Dubravka,Ivan Gundulić,3,2.49,66.0,2016/12/01,2016,22,Drama,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1363039710i/13555753.jpg
Don Quijote de la Mancha I,J.R. Cuenot,4,3.89,141.0,2016/10/01,2016,23,Fiction,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1330094687i/1525808.jpg
The Old Man and the Sea,Ernest Hemingway,4,3.8,96.0,2015/05/01,2015,24,Fiction,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1329189714i/2165.jpg
Alkar,Dinko Šimunović,4,2.86,111.0,2015/04/01,2015,25,Fiction,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1291745566i/9852174.jpg
The Diary of a Young Girl,Anne Frank,5,4.19,283.0,2014/11/01,2014,26,History,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1560816565i/48855.jpg
Romeo and Juliet,William Shakespeare,4,3.74,281.0,2014/11/01,2014,27,Play,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1629680008i/18135.jpg
The Little Prince,Antoine de Saint-Exupéry,5,4.32,96.0,2015/02/01,2015,28,Philosophy,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1367545443i/157993.jpg
In Desert and Wilderness,Henryk Sienkiewicz,5,3.34,460.0,2014/06/01,2014,29,Fiction,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348465900i/168696.jpg
"The Breadwinner (The Breadwinner, #1)",Deborah Ellis,5,4.0,171.0,2014/03/01,2014,30,History,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1519779434i/828015.jpg
You Asked for Perfect,Laura  Silverman,4,3.8,267.0,2019/04/27,2019,31,Romance,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1532058100i/33299465.jpg
