Author
James Clear
Aesop
Antun Gustav Matoš
August Šenoa
Dante Alighieri
Giovanni Boccaccio
Honoré de Balzac
Gustave Flaubert
Henrik Ibsen
Josip Kozarac
Miroslav Krleža
Dinko Šimunović
Miroslav Krleža
Franz Kafka
Franz Kafka
Fyodor Dostoevsky
Ante Kovačić
Ivan Mažuranić
William Shakespeare
Jean Racine
Marin Držić
Ivan Gundulić
J.R. Cuenot
Ernest Hemingway
Dinko Šimunović
Anne Frank
William Shakespeare
Antoine de Saint-Exupéry
Henryk Sienkiewicz
Deborah Ellis
Laura  Silverman
Brigid Kemmerer
Emma Doherty
Cookie O'Gorman
Morgan Matson
Claire LaZebnik
Lizzy Charles
Kiera Cass
Kasie West
Kiera Cass
Sarah Dessen
Sarah Dessen
Katia Rose
Jenn P. Nguyen
Kasie West
Kasie West
Kasie West
Kirsty Moseley
Stephanie Perkins
Lauren Kate
Suzanne Collins
Lana Wood Johnson
Katie McGarry
Katie McGarry
Elle Kennedy
Elle Kennedy
Elle Kennedy
Elle Kennedy
Elle Kennedy
Elle Kennedy
Tijan
Mariana Zapata
Lauren Kate
Lauren Kate
Lauren Kate
Carissa Broadbent
Holly Black
Holly Black
Holly Black
Cynthia Hand
Cynthia Hand
Cynthia Hand
Jeanne DuPrau
HeyJude19
SenLinYu
Alice Oseman
Alice Oseman
Madeline Miller
Sophocles
Kaori Ozaki
Sarah J. Maas
Sarah J. Maas
morriganmercy
Jesse Andrews
Tammara Webber
Huntley Fitzpatrick
Rainbow Rowell
Maggie Stiefvater
John Green
Jenny Han
Jenny Han
Jenny Han
Jennifer Niven
Rachael Lippincott
Angie Thomas
Kiera Cass
Lauren Oliver
Ally Condie
Stephanie Perkins
Kody Keplinger
Lauren Oliver
Becca Fitzpatrick
Simone Elkeles
Scott Westerfeld
Suzanne Collins
Suzanne Collins
Rachel Hawkins
Rachel Hawkins
Rachel Hawkins
Rebecca Yarros
Stephen King
Dan Brown
Becky Albertalli
Rebecca Yarros
Katie McGarry
Brandon Sanderson
Eiichiro Oda
Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
Eiichiro Oda
Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
Eiichiro Oda
Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
Eiichiro Oda
Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 iichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
Eiichiro Oda
Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
Eiichiro Oda
Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
Eiichiro Oda
Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
Eiichiro Oda
Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
 Eiichiro Oda
Hajime Isayama
Hajime Isayama
 Hajime Isayama
 Hajime Isayama
 Hajime Isayama
 Hajime Isayama
 Hajime Isayama
 Hajime Isayama
 Hajime Isayama
 Hajime Isayama
 Hajime Isayama
 Hajime Isayama
 Hajime Isayama
 Hajime Isayama
 Hajime Isayama
Tatsuki Fujimoto
Tatsuki Fujimoto
 Tatsuki Fujimoto
 Tatsuki Fujimoto
 Tatsuki Fujimoto
 Tatsuki Fujimoto
 Tatsuki Fujimoto
 Tatsuki Fujimoto
 Tatsuki Fujimoto
 Tatsuki Fujimoto
 Tatsuki Fujimoto
 Tatsuki Fujimoto
Mashiro
 Mashiro
 Mashiro
 Mashiro
 Mashiro
 Mashiro
 Mashiro
 Mashiro
