Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
51741258,"山田くんとLv999の恋をする 1 (Yamada-kun to Lv999 no Koi wo Suru, #1)",Mashiro,"Mashiro, Mashiro",,"=""""","=""9784040645209""",0,4.32,KADOKAWA,Kindle Edition,194,2020,2019,2023/04/06,2024/05/06,,,read,,,,1,0
21348,Aesop’s Fables,Aesop,"Aesop, Aesop","Laura   Gibbs, Laura Harris, V.S. Vernon Jones, Edward Julius Detmold, G.K. Chesterton","=""0192840509""","=""9780192840509""",0,4.05,Oxford University Press,Paperback,352,2003,-560,2015/11/01,2024/05/06,,,read,,,,1,0
18217260,Cvijet sa raskršća,Antun Gustav Matoš,"Matoš, Antun Gustav",,"=""""","=""""",0,3.40,,,,,,2015/11/01,2024/05/06,,,read,,,,1,0
7171083,Zlatarovo zlato,August Šenoa,"Šenoa, August",,"=""""","=""9536034840""",0,3.33,"Most, Zagreb",Hardcover,294,2002,1871,2016/01/01,2024/05/06,,,read,,,,1,0
6656,The Divine Comedy,Dante Alighieri,"Alighieri, Dante","Allen Mandelbaum, Eugenio Montale, Peter Armour, Sandro Botticelli","=""0679433139""","=""9780679433132""",0,4.08,Everyman's Library,Hardcover,798,1995,1320,2016/06/01,2024/05/06,,,read,,,,1,0
13160941,Dekameron,Giovanni Boccaccio,"Boccaccio, Giovanni",Radovan Krátký,"=""""","=""""",0,3.88,SNKLHU,Hardcover,823,1959,1349,2016/03/01,2024/05/06,,,read,,,,1,0
59145,Père Goriot,Honoré de Balzac,"Balzac, Honoré de","Burton Raffel, Peter Brooks","=""039397166X""","=""9780393971668""",0,3.85,W. W. Norton & Company,Paperback,384,1997,1835,2018/02/01,2024/05/06,,,read,,,,1,0
2175,Madame Bovary,Gustave Flaubert,"Flaubert, Gustave","Mark Overstall, Malcolm Bowie, Margaret Mauldon, Eleanor Marx","=""0192840398""","=""9780192840394""",0,3.70,Oxford University Press,Paperback,329,2004,1856,2017/12/01,2024/05/06,,,read,,,,1,0
37793,A Doll's House,Henrik Ibsen,"Ibsen, Henrik",,"=""1406914835""","=""9781406914832""",0,3.76,Hard Press,Paperback,122,2007,1879,2017/11/01,2024/05/06,,,read,,,,1,0
10153265,Tena,Josip Kozarac,"Kozarac, Josip",,"=""9531562555""","=""""",0,3.38,Privlačica,Paperback,71,2004,1894,2018/01/01,2024/05/06,,,read,,,,1,0
10982073,Baraka Pet Be,Miroslav Krleža,"Krleža, Miroslav",,"=""""","=""""",0,3.58,,Kindle Edition,13,1922,1922,2018/11/01,2024/05/06,,,read,,,,1,0
8981458,Duga,Dinko Šimunović,"Šimunović, Dinko",Tomislav Tomić,"=""9531969744""","=""""",0,3.65,Mozaik knjiga d.o.o.,Hardcover,197,2002,1907,2018/09/01,2024/05/06,,,read,,,,1,0
6918013,Gospoda Glembajevi,Miroslav Krleža,"Krleža, Miroslav",,"=""8642706449""","=""9788642706443""",0,3.96,,,196,,1928,2019/04/01,2024/05/06,,,read,,,,1,0
485894,The Metamorphosis,Franz Kafka,"Kafka, Franz",Stanley Corngold,"=""""","=""""",0,3.87,Bantam Classics,Paperback,201,1972,1915,2019/01/01,2024/05/06,,,read,,,,1,0
59721964,Proces,Franz Kafka,"Kafka, Franz",Bruno Schulz,"=""""","=""""",0,3.96,Agora,Hardcover,185,2004,1925,2019/02/01,2024/05/06,,,read,,,,1,0
7144,Crime and Punishment,Fyodor Dostoevsky,"Dostoevsky, Fyodor","David McDuff, Joseph Frank","=""""","=""""",0,4.27,Penguin,Paperback,671,2002,1866,2018/03/01,2024/05/06,,,read,,,,1,0
2275786,U registraturi,Ante Kovačić,"Kovačić, Ante",,"=""9531502463""","=""9789531502467""",0,3.61,Matica hrvatska,Hardcover,417,1999,1911,2018/04/01,2024/05/06,,,read,,,,1,0
6890933,Smrt Smail-age Čengića,Ivan Mažuranić,"Mažuranić, Ivan",,"=""8670581485""","=""9788670581487""",0,2.88,Kršćanska sadašnjost,Paperback,65,1994,1845,2018/05/01,2024/05/06,,,read,,,,1,0
1420,Hamlet,William Shakespeare,"Shakespeare, William","Harold Bloom, Rex Gibson, Israel Gollancz, Henry Norman Hudson, L.A. Sherman, Max J. Herzberg","=""0521618746""","=""9780521618748""",0,4.02,Cambridge University Press,Paperback,289,2005,1601,2017/03/01,2024/05/06,,,read,,,,1,0
